,Date,Ticker,average_turnover_1Y,average_turnover_3Y,beta_1Y,beta_3Y,volatility_1Y,volatility_3Y
149,2000-12-01,DRI US Equity,10169963.560892856,7381841.999980158,-0.0487176352864359,-0.0126102781022141,0.4289880838892996,0.3966917577921536
150,2000-12-01,DTE US Equity,16393750.256428571,14569028.78526455,-0.0163493856495329,-0.0012530194871646,0.2983243478256818,0.23665269634532
151,2000-12-01,DUK US Equity,51524946.71465793,36818862.061817326,-0.0337769663115041,-0.0189533340025096,0.3014906763685622,0.2425077514317094
152,2000-12-01,DVN US Equity,35259463.48714286,17555367.826587304,-0.0001270455123088,-0.0292126752780216,0.4733713071597186,0.4078633089083506
153,2000-12-01,ECL US Equity,11472579.868809525,9390005.803492064,0.0118380433403834,0.0470147039241855,0.3126207569854524,0.2822788109964518
154,2000-12-01,ED US Equity,20729977.8968254,22488685.80994709,-0.0262478541145653,-0.0107199052321594,0.2908039753734407,0.2382874978152988
155,2000-12-01,EFX US Equity,6132983.866269841,7172211.319444444,0.0027253579829447,0.0466713561875783,0.3825717699628523,0.4099805617903526
156,2000-12-01,EIX US Equity,30420497.538214285,24361873.367301587,0.0127464912849533,0.0115158304342153,0.4965489976154977,0.3460308901437009
157,2000-12-01,EL US Equity,32109508.37904762,28607799.46436508,-0.0054080301438103,-0.0204979642844687,0.3432077115133107,0.3615346380464616
158,2000-12-01,EMN US Equity,16969235.102222223,13667210.993042327,-0.0071699207064663,0.0216426666464983,0.4516717739001447,0.3634400383201289
159,2000-12-01,EQR US Equity,14469563.981269842,12602098.74,-0.0131574931795492,-0.0011235452165827,0.1714636722551272,0.1812552929097547
160,2000-12-01,ES US Equity,8690687.898492064,6818644.643412698,0.0152276045867171,0.0310166946256166,0.2650653720449668,0.2518886068719495
161,2000-12-01,ETN US Equity,22521881.9084127,23256776.92978836,0.0410309199581606,0.0524804352433739,0.3662534521722777,0.3178505260497255
162,2000-12-01,ETR US Equity,27494313.557261903,23323972.34503968,-0.0103810151364279,-0.0115218331500617,0.4417139642063793,0.3108160764126348
163,2000-12-01,EW US Equity,17574447.35714286,16154224.693111112,-0.0003561040665657,0.0084265622485047,0.186786510190051,0.2291361921118124
164,2000-12-01,EXC US Equity,29358731.15031746,24033650.0265344,-0.0293985422068845,-0.0055937581328589,0.3359595588199254,0.2974195889177342
165,2000-12-01,EXPE US Equity,68316682.60881746,48297514.252166666,-0.0375383282180348,-0.0147825481018002,0.3707717207953779,0.5632588418902837
166,2000-12-01,FE US Equity,47276424.583333336,39380327.918637566,-0.0435594126350596,-0.0206628413427147,0.2686465443132799,0.3032225184303306
167,2000-12-01,FIS US Equity,22722261.41698532,13552568.646495106,-0.0311510401569786,-0.0249190813386832,0.2118143298339402,0.2262670020153788
168,2000-12-01,FMC US Equity,5572065.815079366,4264168.403544974,-0.0084060026199724,0.0165947083289388,0.3440916517532733,0.3132907666376662
169,2000-12-01,GD US Equity,51270205.48650794,33669624.90767196,0.0063736159264166,0.0477587979995823,0.3608465606304259,0.3405744961101018
170,2000-12-01,GIS US Equity,39568157.51325397,37538981.780291006,0.0006955563183158,0.016380702007891,0.2644653703512672,0.2083447115286538
171,2000-12-01,GL US Equity,10747363.279375,11664849.591547618,0.0397991783957714,0.0605383868603762,0.4319691053578603,0.3687579521207296
172,2000-12-01,GPC US Equity,9967993.154920634,9569877.329748675,0.0253111339054667,0.0404008096664144,0.2874396248575795,0.2488479615478758
173,2000-12-01,HES US Equity,39655513.840476185,26346779.05007936,-0.0018698552720901,0.034449010820263,0.3256384598860487,0.3139787242132942
174,2000-12-01,HIG US Equity,71399760.64484127,51969569.25887566,-0.0089672452321537,0.0013340386525409,0.3601883969477374,0.4303353415592567
