"Date","CLI","CM_1M","CM_3M","CM_6M","CM_1Y","CM_2Y","CM_3Y","CM_5Y","CM_7Y","CM_10Y","CM_20Y","CM_30Y","DJ_ret","Volume_DJ_chg","RF_rate","AA","AAA","BBB","A","GDP_chg","High_Qua_2Y","High_Qua_5Y","High_Qua_10Y","High_Qua_30Y","Ind_Prod_chg","Perso_Cons_Exp_chg","CPI_chg","SaleTrade_chg","Cons_Sentiment","Unempl_Rate","SP500_ret","Volume_SP500_chg","PPIACO_chg","Rend_1M","Rend_3M","Rend_6M","Rend_1Y","Rend_2Y","Rend_3Y","Rend_5Y","Rend_7Y","Rend_10Y","Rend_20Y","Rend_30Y","StressIndicator_SL","Spread_10Y2Y","VIX","beta_0_realized","beta_1_realized","beta_2_realized","lambda_realized"
1997-10-01,100.9757,3.67,5.1,5.27,5.44,5.75,5.83,5.93,6.05,6.04,6.38,6.33,0.0373973301590587,-0.0556249189999252,5.5,6.48695652173913,6.46086956521739,6.90304347826087,6.63695652173913,0.0118995851583252,6.06,6.44,6.67,7.17,0.00887027962651454,0.00642662049020837,0.00186104218362293,-0.001190441903555,105.6,4.7,-0.0209251794952324,0.747668554541963,0.00235294117647067,2.21,5.192,5.204,2.254,5.608,5.687,5.713,2.698,5.831,1.178,6.142,-0.05792,0.257727272727273,23.8708695652174,6.36040390661291,-1.36272835854358,0.0558835686681013,0.797010619527928
1997-11-01,100.9735,3.67,5.26,5.35,5.44,5.69,5.77,5.79,5.94,5.91,6.27,6.21,-0.0446193054153772,0.0665329120966383,5.52,6.45380952380952,6.4147619047619,6.88190476190476,6.6647619047619,0.0118995851583252,6.09,6.39,6.59,7.04,0.00805164458223651,0.00415062880252592,0.00123839009287918,0.00412345370486067,107.2,4.6,0.0386965814664062,-0.322198333096867,0.000782472613458651,2.21,5.18,5.225,2.254,5.776,5.308,5.845,2.698,5.88,1.178,6.061,-0.033475,0.162222222222222,32.2061111111111,6.14018104321606,-0.941903798524542,-0.0278611708840951,0.47818961220653
1997-12-01,100.9373,3.67,5.27,5.42,5.56,5.78,5.8,5.83,5.88,5.86,6.13,6.04,0.0623892815509166,-0.328657961219359,5.5,6.40318181818182,6.34818181818182,6.83772727272727,6.64727272727273,0.0118995851583252,6.1,6.36,6.53,6.92,0.0042010209499701,0.00547596756814039,0.000618429189857883,0.00204368801929777,102.1,4.7,0.0150327324877715,-0.150230684840925,-0.00860046911649737,2.21,5.352,5.352,2.254,5.658,4.852,5.712,2.698,5.744,1.178,5.92,-0.1099,0.0936363636363636,26.2763636363636,5.99405604284227,-0.880515584331392,0.343266314636935,0.999950705261653
1998-01-01,100.8852,3.67,5.32,5.4,5.46,5.59,5.62,5.63,5.68,5.67,5.94,5.86,0.015138999945705,0.0823324386867763,5.56,6.14636363636364,6.11136363636364,6.62681818181818,6.315,0.0114731995217381,5.76,6.03,6.29,6.78,0.0045713549114017,-0.000386500588535066,0.0012360939431395,0.00144724712580535,106.6,4.6,0.0169087232088623,0.321112448728751,-0.0110410094637223,2.21,5.172,5.183,2.254,5.325,4.647,5.384,2.698,5.516,1.178,5.807,-0.17126,0.1875,23.8665,5.8811344081938,-0.558485974403349,-0.0045950719028814,0.797010619527928
1998-02-01,100.8171,3.67,5.26,5.3,5.26,5.36,5.38,5.43,5.55,5.57,5.93,5.87,0.0193519819182191,0.542000810933519,5.51,6.23285714285714,6.17666666666667,6.73809523809524,6.41095238095238,0.0114731995217381,5.85,6.11,6.36,6.86,0.00165388234623176,0.00595792544684448,0,-0.000543721919624596,110.4,4.6,0.0692941591603027,-0.333216997522525,-0.00318979266347696,2.21,5.308,5.319,2.254,5.534,4.262,5.594,2.698,5.624,1.178,5.926,-0.383875,0.156842105263158,19.9989473684211,6.08276691759941,-0.886310434470978,-0.00239039313509402,0.0982717811799833
1998-03-01,100.7142,3.67,5.26,5.35,5.43,5.6,5.61,5.67,5.77,5.72,6.09,6.03,0.0552758234387201,-0.144608451014053,5.49,6.31545454545455,6.24590909090909,6.81045454545455,6.48318181818182,0.0114731995217381,5.97,6.2,6.42,6.88,0.000436511325571098,0.00462979139732345,0,0.00610826906925244,106.5,4.7,0.0457791321630596,0.252147813754325,-0.00239999999999996,2.21,5.125,5.125,2.254,5.567,4.853,5.623,2.698,5.658,1.178,5.935,-0.3541,0.0859090909090909,20.1586363636364,6.01965074458718,-0.683922015142195,0.00406408453813228,0.183918955329833
1998-04-01,100.5738,3.67,5.12,5.24,5.37,5.55,5.58,5.59,5.68,5.62,5.98,5.9,0.0247427690257671,0.208500020957747,5.45,6.27809523809524,6.23190476190476,6.78333333333333,6.46095238095238,0.011641485685413,5.97,6.19,6.4,6.85,0.00337555844328308,0.0065735700746048,0.00123456790123444,0.0132854595127874,108.7,4.3,0.0157012078918868,0.358607554780346,0.00160384923817158,2.21,4.967,5.061,2.254,5.709,5.344,5.786,2.698,5.82,1.178,6.081,-0.2594,0.0733333333333333,22.0285714285714,5.84253562903335,-0.77921676076971,-0.0294933480024206,0.99993395914561
1998-05-01,100.3974,3.67,5.02,5.27,5.41,5.59,5.62,5.63,5.72,5.67,6.02,5.94,0.0393277461276456,0.0776930835765683,5.49,6.27818181818182,6.25090909090909,6.79227272727273,6.45636363636364,0.011641485685413,5.98,6.2,6.42,6.84,0.00658896820491961,0.00860385964306065,0.00246609124537622,0.00470901031207727,106.5,4.4,-0.0207687511251435,-0.0199326642468057,0.00160128102481982,2.21,5.007,5.017,2.254,5.534,4.933,5.558,2.698,5.558,1.178,5.802,-0.23024,0.059,20.874,5.84750093128705,-0.939999429092146,0.238325378952758,0.999950705261653
1998-06-01,100.1969,3.67,5.08,5.3,5.4,5.52,5.51,5.53,5.59,5.53,5.87,5.78,-0.000104556040903203,-0.183038944947542,5.56,6.15181818181818,6.14454545454545,6.66954545454545,6.32954545454545,0.011641485685413,5.92,6.11,6.28,6.65,-0.00590487169523823,0.00578975316466535,0.00123001230012321,0.00791095746812087,105.6,4.5,0.0392660790945603,0.221294837302434,-0.00239808153477217,2.21,5.083,5.083,2.254,5.475,4.579,5.469,2.698,5.446,1.178,5.63,-0.202425,-0.0236363636363636,21.6627272727273,5.69524842028588,-0.697815356691836,0.27751726301261,0.999950705261653
1998-07-01,100.0033,3.67,5.09,5.22,5.37,5.46,5.47,5.43,5.5,5.44,5.73,5.63,0.0147617987183748,0.201609898742877,5.54,6.14565217391304,6.11695652173913,6.68217391304348,6.36478260869565,0.0168788272605356,5.91,6.08,6.28,6.69,-0.00396901780684888,0.00311664424272351,0.00245700245700231,-0.00691513703157576,105.2,4.5,-0.0103742848153823,0.093571822955401,0.000801282051282159,2.21,5.069,5.09,2.254,5.492,4.335,5.506,2.698,5.494,1.178,5.713,-0.2952,0.00318181818181818,19.93,5.54052750481551,-0.530004731165035,0.415400255041518,0.999950705261653
